Concurso,Data,Dez1,Dez2,Dez3,Dez4,Dez5,Dez6,Mega,Quina,Quadra,PremioSena,PremioQuina,PremioQuadra,Cidade
1,11/03/1996,4,5,30,33,41,52,0,17,2016,"R$0,00","R$39.158,92","R$330,21",
2,18/03/1996,9,37,39,41,43,49,1,65,4488,"R$2.307.162,23","R$14.424,02","R$208,91",PR
3,25/03/1996,10,11,29,30,36,47,2,62,4261,"R$391.192,51","R$10.515,93","R$153,01",RN   SP
4,01/04/1996,1,5,6,27,42,59,0,39,3311,"R$0,00","R$15.322,24","R$180,48",
5,08/04/1996,1,2,6,16,19,46,0,98,5399,"R$0,00","R$5.318,10","R$96,53",
6,15/04/1996,7,13,19,22,40,47,0,109,7147,"R$0,00","R$7.214,66","R$110,03",
7,22/04/1996,3,5,20,21,38,56,0,100,5736,"R$0,00","R$8.746,05","R$152,48",
8,29/04/1996,4,17,37,38,47,53,0,60,5262,"R$0,00","R$16.084,11","R$183,40",
9,06/05/1996,8,43,54,55,56,60,0,17,2175,"R$0,00","R$60.043,79","R$469,31",
10,13/05/1996,4,18,21,25,38,57,0,251,12590,"R$0,00","R$6.638,45","R$132,35",
11,20/05/1996,15,25,37,38,58,59,1,148,9442,"R$15.591.365,07","R$12.706,05","R$199,16",RJ
12,27/05/1996,4,16,19,20,27,43,0,108,6454,"R$0,00","R$6.791,17","R$113,64",
13,03/06/1996,18,32,47,50,54,56,0,43,2934,"R$0,00","R$20.543,98","R$301,09",
14,10/06/1996,2,16,23,27,47,53,0,85,5323,"R$0,00","R$10.458,19","R$167,00",
15,17/06/1996,12,33,35,51,52,60,0,57,3931,"R$0,00","R$17.919,89","R$259,84",
16,24/06/1996,20,32,34,49,58,60,0,31,3250,"R$0,00","R$33.307,13","R$317,70",
17,01/07/1996,6,10,13,19,20,51,1,144,9376,"R$6.789.869,08","R$7.628,37","R$117,16",SP
18,08/07/1996,23,27,36,37,42,56,0,52,4484,"R$0,00","R$13.763,52","R$159,61",
19,15/07/1996,5,10,12,24,25,60,0,159,9250,"R$0,00","R$5.380,14","R$92,48",
20,22/07/1996,11,25,28,30,33,51,0,72,5728,"R$0,00","R$15.486,97","R$194,67",
21,29/07/1996,6,33,36,46,49,53,0,63,5030,"R$0,00","R$17.694,19","R$221,62",
22,05/08/1996,1,9,31,38,46,56,0,47,4865,"R$0,00","R$27.212,90","R$262,90",
23,12/08/1996,17,37,39,51,52,59,0,74,4897,"R$0,00","R$20.198,46","R$305,23",
24,19/08/1996,1,8,14,28,33,43,1,227,13486,"R$18.661.679,61","R$7.897,31","R$132,93",
25,25/08/1996,24,43,50,54,55,56,0,28,2741,"R$0,00","R$26.338,50","R$269,06",
26,01/09/1996,10,22,50,53,57,58,0,16,1823,"R$0,00","R$52.473,74","R$460,55",
27,08/09/1996,13,17,20,33,44,51,0,99,6466,"R$0,00","R$9.306,24","R$142,49",
28,15/09/1996,3,6,22,24,54,60,0,50,4895,"R$0,00","R$19.749,22","R$201,73",
29,22/09/1996,3,8,14,43,56,58,1,44,5248,"R$5.401.793,60","R$23.083,15","R$193,53",RS
30,29/09/1996,7,14,15,29,38,50,0,80,5885,"R$0,00","R$11.347,74","R$154,26",
31,06/10/1996,17,19,28,45,48,56,0,103,5680,"R$0,00","R$8.793,04","R$159,45",
32,13/10/1996,5,14,33,36,43,44,0,96,6876,"R$0,00","R$11.430,91","R$159,60",
33,20/10/1996,5,17,33,39,42,49,1,128,8722,"R$13.997.410,74","R$9.545,76","R$140,09",MG
