Concurso,Data,dezena1,dezena2,dezena3,dezena4,dezena5,dezena6,Mega,Quina,Quadra,Cidade
1,11/03/1996,4,5,30,33,41,52,0,17,2016,
2,18/03/1996,9,37,39,41,43,49,1,65,4488,PR
3,25/03/1996,10,11,29,30,36,47,2,62,4261,RN   SP
4,01/04/1996,1,5,6,27,42,59,0,39,3311,
5,08/04/1996,1,2,6,16,19,46,0,98,5399,
6,15/04/1996,7,13,19,22,40,47,0,109,7147,
7,22/04/1996,3,5,20,21,38,56,0,100,5736,
8,29/04/1996,4,17,37,38,47,53,0,60,5262,
9,06/05/1996,8,43,54,55,56,60,0,17,2175,
10,13/05/1996,4,18,21,25,38,57,0,251,12590,
11,20/05/1996,15,25,37,38,58,59,1,148,9442,RJ
12,27/05/1996,4,16,19,20,27,43,0,108,6454,
13,03/06/1996,18,32,47,50,54,56,0,43,2934,
14,10/06/1996,2,16,23,27,47,53,0,85,5323,
15,17/06/1996,12,33,35,51,52,60,0,57,3931,
16,24/06/1996,20,32,34,49,58,60,0,31,3250,
17,01/07/1996,6,10,13,19,20,51,1,144,9376,SP
18,08/07/1996,23,27,36,37,42,56,0,52,4484,
19,15/07/1996,5,10,12,24,25,60,0,159,9250,
20,22/07/1996,11,25,28,30,33,51,0,72,5728,
21,29/07/1996,6,33,36,46,49,53,0,63,5030,
22,05/08/1996,1,9,31,38,46,56,0,47,4865,
23,12/08/1996,17,37,39,51,52,59,0,74,4897,
24,19/08/1996,1,8,14,28,33,43,1,227,13486,
25,25/08/1996,24,43,50,54,55,56,0,28,2741,
26,01/09/1996,10,22,50,53,57,58,0,16,1823,
27,08/09/1996,13,17,20,33,44,51,0,99,6466,
28,15/09/1996,3,6,22,24,54,60,0,50,4895,
29,22/09/1996,3,8,14,43,56,58,1,44,5248,RS
30,29/09/1996,7,14,15,29,38,50,0,80,5885,
31,06/10/1996,17,19,28,45,48,56,0,103,5680,
32,13/10/1996,5,14,33,36,43,44,0,96,6876,
33,20/10/1996,5,17,33,39,42,49,1,128,8722,MG
34,27/10/1996,13,15,17,40,53,57,0,51,2627,
35,03/11/1996,4,16,21,23,54,57,0,39,3576,
36,10/11/1996,3,13,17,25,29,51,0,143,8548,
37,17/11/1996,6,7,22,38,52,60,0,47,3695,
38,24/11/1996,10,42,43,45,54,55,0,24,1999,
39,01/12/1996,12,16,37,45,52,56,0,73,4444,
40,08/12/1996,3,5,8,12,46,47,0,189,12117,
41,15/12/1996,12,26,35,38,39,47,1,148,10182,BA
42,22/12/1996,7,11,19,24,33,36,0,201,9580,
43,29/12/1996,2,6,17,25,26,58,0,75,5070,
44,05/01/1997,14,18,29,38,44,47,0,103,7742,
45,12/01/1997,7,30,37,44,53,55,0,33,3004,
46,19/01/1997,1,23,24,32,46,60,0,91,6263,
47,26/01/1997,3,17,25,35,48,56,0,210,10873,
48,02/02/1997,2,5,28,34,47,50,0,132,7454,
49,09/02/1997,7,13,33,35,43,55,1,155,9830,RJ
50,16/02/1997,6,16,21,44,57,58,0,31,2800,
51,23/02/1997,17,23,24,25,42,47,0,143,9361,
52,02/03/1997,15,30,38,46,58,59,0,77,6442,
53,09/03/1997,3,13,16,38,42,46,0,210,10941,
54,16/03/1997,5,9,18,21,36,56,2,207,13067,BA   SP
55,23/03/1997,2,14,23,29,38,52,0,66,3840,
56,30/03/1997,2,7,20,35,51,59,0,48,2599,
57,06/04/1997,7,16,17,27,34,59,0,79,6173,
58,13/04/1997,12,27,30,37,44,49,1,65,5040,SP
59,20/04/1997,2,8,13,28,34,54,0,90,5351,
60,27/04/1997,3,14,15,20,21,38,0,129,7914,
61,04/05/1997,8,18,29,42,44,59,0,52,3866,
62,11/05/1997,6,8,13,24,31,52,0,119,8613,
63,18/05/1997,9,25,26,40,41,49,1,82,6359,MG
64,25/05/1997,8,12,23,50,54,60,0,29,2441,
65,01/06/1997,1,5,20,25,32,34,0,61,4932,
66,08/06/1997,12,13,15,26,33,48,0,102,7686,
67,15/06/1997,12,14,17,27,47,52,0,83,5479,
68,22/06/1997,1,3,12,13,53,59,0,49,4758,
69,29/06/1997,25,34,45,53,56,58,0,55,3661,
